Thermal	--	--	NH3	--	--	N2	--	--
nm	n	k	nm	n	k	nm	n	k
775,84601	2,06281	0,65141	775,84601	2,13732	0,56074	775,84601	2,47381	0,52382
777,41626	2,0635	0,65458	777,41626	2,13743	0,56351	777,41626	2,474	0,52559
778,98645	2,06423	0,65774	778,98645	2,13757	0,56627	778,98645	2,47422	0,52737
780,55652	2,06498	0,66088	780,55652	2,13775	0,56902	780,55652	2,47446	0,52914
782,1264	2,06577	0,66401	782,1264	2,13796	0,57177	782,1264	2,47473	0,53092
783,69629	2,06658	0,66712	783,69629	2,13819	0,57451	783,69629	2,47502	0,5327
785,26605	2,06742	0,67022	785,26605	2,13846	0,57724	785,26605	2,47533	0,53448
786,83575	2,06829	0,67331	786,83575	2,13875	0,57996	786,83575	2,47568	0,53625
788,40533	2,06919	0,67638	788,40533	2,13907	0,58268	788,40533	2,47605	0,53802
789,97479	2,07012	0,67943	789,97479	2,13941	0,58538	789,97479	2,47645	0,53978
791,54419	2,07107	0,68247	791,54419	2,13979	0,58808	791,54419	2,47687	0,54154
793,11346	2,07205	0,68549	793,11346	2,14019	0,59077	793,11346	2,4773	0,54328
794,68262	2,07306	0,68849	794,68262	2,14061	0,59345	794,68262	2,47776	0,54502
796,25171	2,07409	0,69148	796,25171	2,14106	0,59612	796,25171	2,47824	0,54676
797,82068	2,07515	0,69446	797,82068	2,14154	0,59878	797,82068	2,47873	0,54849
799,38953	2,07624	0,69741	799,38953	2,14204	0,60143	799,38953	2,47925	0,55021
800,95831	2,07735	0,70035	800,95831	2,14256	0,60408	800,95831	2,47978	0,55192
802,52698	2,07849	0,70327	802,52698	2,14311	0,60671	802,52698	2,48032	0,55363
804,09558	2,07965	0,70618	804,09558	2,14368	0,60934	804,09558	2,48089	0,55533
805,664	2,08083	0,70906	805,664	2,14428	0,61195	805,664	2,48147	0,55703
807,23236	2,08204	0,71193	807,23236	2,1449	0,61456	807,23236	2,48207	0,55871
808,8006	2,08327	0,71479	808,8006	2,14554	0,61716	808,8006	2,48268	0,5604
810,36877	2,08453	0,71762	810,36877	2,1462	0,61975	810,36877	2,48331	0,56207
811,93677	2,0858	0,72044	811,93677	2,14689	0,62232	811,93677	2,48395	0,56374
813,5047	2,0871	0,72323	813,5047	2,1476	0,62489	813,5047	2,48461	0,5654
815,07251	2,08843	0,72601	815,07251	2,14833	0,62745	815,07251	2,48529	0,56706
816,64026	2,08977	0,72878	816,64026	2,14908	0,62999	816,64026	2,48598	0,56871
818,20789	2,09114	0,73152	818,20789	2,14985	0,63253	818,20789	2,48668	0,57035
819,77539	2,09253	0,73424	819,77539	2,15064	0,63506	819,77539	2,4874	0,57199
821,34277	2,09393	0,73695	821,34277	2,15146	0,63757	821,34277	2,48813	0,57362
822,91003	2,09536	0,73963	822,91003	2,15229	0,64008	822,91003	2,48887	0,57524
824,47723	2,09681	0,7423	824,47723	2,15315	0,64258	824,47723	2,48963	0,57686
826,04425	2,09828	0,74495	826,04425	2,15402	0,64506	826,04425	2,4904	0,57847
827,61121	2,09977	0,74758	827,61121	2,15491	0,64753	827,61121	2,49119	0,58007
829,17804	2,10128	0,75018	829,17804	2,15583	0,65	829,17804	2,49199	0,58167
