Environnement : Air / n = 1 
Cube : Argent / n(lambda) / 70 nm
Gap diélectrique / n = 1.45 / 5 nm
Fonctionnalisation diélectrique / n = 1.45 / 1 nm
Couche métallique : Or / n(lambda) / 20 nm
Substrat : SiO2 / n = 1.5 / 200 nm

Wavelengths (nm) 	 Rd 	 Rd_mol	 Ru 	 Ru_mol 	 Td 	 Td_mol	 Tu 	 Tu_mol 
450.0, 0.17303900986460333	, 0.17109637937260055	, 0.09641275691682903	,0.09564686758021905	,0.3071709556506779	,0.3093739058779292	,0.3071709556500715	,0.3093739058773253
1327.2151898734178, 0.7874520458776971	, 0.7846373786525666	, 0.7915766135284502	,0.7873101377825041	,0.12059032792141058	,0.12241186215786233	,0.12059032792197384	,0.12241186215844722
1340.506329113924, 0.7914470098504579	, 0.7888087002591379	, 0.796565466686125	,0.792591219919075	,0.11729500665346765	,0.11899874464994598	,0.11729500665338415	,0.11899874464989561
1353.7974683544303, 0.7952434508900498	, 0.7927648593871827	, 0.8012600842776978	,0.7975468174918892	,0.11416303405635933	,0.11575925522323191	,0.11416303405675464	,0.11575925522375341
1367.0886075949365, 0.7988570173324128	, 0.7965231921223109	, 0.8056888191655003	,0.802209416823596	,0.11118312351102268	,0.11268135254731736	,0.11118312351105211	,0.11268135254747458
1380.379746835443, 0.8023027944694054	, 0.8001006372335643	, 0.8098812362730388	,0.8066134411812907	,0.10834508837835667	,0.10975416500153043	,0.1083450883784521	,0.10975416500157475
1393.6708860759495, 0.8055960189834448	, 0.8035145975136456	, 0.8138669552490526	,0.8107937332235888	,0.10563863064694874	,0.10696646033392095	,0.10563863064670109	,0.10696646033371779
1406.9620253164558, 0.8087504753722479	, 0.8067808042685525	, 0.8176674673749544	,0.8147751677005116	,0.10305292719131524	,0.1043061367269282	,0.10305292719194611	,0.10430613672749346
1420.253164556962, 0.8117764473870402	, 0.8099106107982171	, 0.8212931676036949	,0.8185687369814364	,0.10057817522882596	,0.10176224797248137	,0.10057817522898593	,0.10176224797269158
1433.5443037974683, 0.8146815525683294	, 0.8129120685089164	, 0.8247506918062759	,0.82218076714879	,0.09820666599904573	,0.09932641578799736	,0.0982066659987006	,0.09932641578776975
1446.8354430379745, 0.8174726481318496	, 0.8157923898250448	, 0.828048792100189	,0.8256203535012216	,0.095932171795674	,0.09699205352645011	,0.09593217179548835	,0.09699205352626611
1460.126582278481, 0.820156481127502	, 0.8185587760441851	, 0.831197944789884	,0.8288989238930985	,0.09374910938308313	,0.09475330585646519	,0.0937491093833772	,0.09475330585661154
1473.4177215189875, 0.8227395795428322	, 0.8212182723664398	, 0.8342088604107508	,0.8320283919285489	,0.09165229067277028	,0.09260473493100053	,0.0916522906727622	,0.09260473493101855
1486.7088607594937, 0.8252282523060849	, 0.8237777669771038	, 0.837091940194495	,0.8350205081455356	,0.0896368160780505	,0.09054119302001556	,0.0896368160783167	,0.09054119302036792
1500.0, 0.8276285044615274	, 0.8262439124128454	, 0.839856502543584	,0.8378859638441817	,0.08769801520426482	,0.08855773309918243	,0.08769801520393578	,0.08855773309895325
